i,lid,rc,expansion,time,recall
268, 30.275948462420278, 1.7436820268630981, 1.0173931121826172, 0.00018177032470703124, 0.52
269, 59.06135756101971, 1.4121102094650269, 1.011813998222351, 0.00017681121826171876, 0.09
270, 62.74036076713835, 1.429237961769104, 1.014435887336731, 0.00015764236450195314, 0.22
271, 45.39204924685845, 1.5324435234069824, 1.0137039422988892, 0.00018606185913085937, 0.31
272, 46.906416968414426, 1.3995435237884521, 1.0157239437103271, 0.00015592575073242188, 0.25
273, 44.490130824443526, 1.5636866092681885, 1.0142027139663696, 0.00019960403442382814, 0.26
274, 62.67375162269465, 1.4961329698562622, 1.0129932165145874, 0.00020809173583984374, 0.24
275, 91.75416299947574, 1.60316801071167, 1.0251251459121704, 0.00015974044799804688, 0.4
276, 33.576008408413266, 1.6529264450073242, 1.0154485702514648, 0.00016870498657226563, 0.08
277, 77.5523915398497, 1.2467325925827026, 1.0077650547027588, 0.0001670360565185547, 0.0
278, 23.44049582057535, 1.7881076335906982, 1.0358235836029053, 0.0001616954803466797, 0.73
279, 31.927533849615767, 1.5887095928192139, 1.022610068321228, 0.00019350051879882813, 0.55
280, 27.98653104516925, 1.460782527923584, 1.026687502861023, 0.00015988349914550782, 0.56
281, 36.79950728367977, 1.667497158050537, 1.0161292552947998, 0.0001475811004638672, 0.49
282, 40.69746780634707, 1.412901759147644, 1.013179063796997, 0.0001590251922607422, 0.06
283, 42.23027275417034, 1.583336353302002, 1.0189154148101807, 0.00017261505126953125, 0.34
284, 20.82124626274035, 1.5364344120025635, 1.0325676202774048, 0.00016026496887207032, 0.0
285, 51.93080733782667, 1.3342725038528442, 1.0125210285186768, 0.00015358924865722657, 0.28
286, 61.76402764289352, 1.456540822982788, 1.013409972190857, 0.00017461776733398437, 0.21
287, 46.188348283885645, 1.509734034538269, 1.0151461362838745, 0.00017490386962890626, 0.17
288, 22.276073001522636, 1.5908031463623047, 1.0230940580368042, 0.00016880035400390625, 0.03
289, 9.191179620411665, 2.369493246078491, 1.0981746912002563, 0.0001663684844970703, 0.7
290, 23.0177901493298, 1.5601716041564941, 1.0347331762313843, 0.0001858234405517578, 0.59
291, 33.79945596900206, 1.6177423000335693, 1.019237756729126, 0.00017404556274414062, 0.26
292, 55.370212327675816, 1.4328819513320923, 1.011900544166565, 0.0001731395721435547, 0.06
293, 58.05572942783769, 1.4072338342666626, 1.0138767957687378, 0.0001789093017578125, 0.33
294, 58.41071506623149, 1.4830070734024048, 1.0103106498718262, 0.00017037391662597657, 0.18
295, 26.944295282078425, 1.3872954845428467, 1.0170334577560425, 0.00015959739685058593, 0.0
296, 37.76363730694288, 2.152371883392334, 1.0200096368789673, 0.00015697479248046874, 0.33
297, 85.37775619945225, 1.212568998336792, 1.008009433746338, 0.00020112991333007813, 0.03
